,价格,销量,成本,客户评分,销售额,利润,利润率,销售月份,销售星期几,促销利润率,地区平均评分,类别平均销量,销量与类别平均比,销售日期_年份,销售日期_月份,销售日期_日,销售日期_星期
价格,1.0,-0.690170247854721,0.998667370607963,-0.5517289748871609,0.9439133108151134,0.9302180263757848,-0.38132464166345154,,-0.06372353550243189,-0.4060255306722216,-0.07497492500713687,-0.7113911766205014,-0.05749239175847589,,,-0.021452386174681082,-0.06372353550243189
销量,-0.690170247854721,1.0,-0.6571945107192508,0.36803290223799223,-0.5294770557227597,-0.5591833447507226,-0.1566987836056924,,0.10774682099086996,-0.07603096341372677,0.025077148020843747,0.9467757530974988,0.3073281561205492,,,0.07855364448395749,0.10774682099086996
成本,0.998667370607963,-0.6571945107192508,1.0,-0.551345456213674,0.9446370438636463,0.9268309482658293,-0.41455930232173555,,-0.06261508099956951,-0.43888860909127564,-0.07488063144539409,-0.6751399504563198,-0.06214242164738242,,,-0.021349548597315537,-0.06261508099956951
客户评分,-0.5517289748871609,0.36803290223799223,-0.551345456213674,1.0,-0.6077834187661063,-0.6301570007923563,-0.32305166414531217,,0.013107260014353977,-0.3258579447667288,0.05370685758311797,0.36414999434960105,0.08036931497397391,,,0.0042797337584714705,0.013107260014353977
销售额,0.9439133108151134,-0.5294770557227597,0.9446370438636463,-0.6077834187661063,1.0,0.9955693666980882,-0.33211847659216825,,-0.01772747526976612,-0.36873268267764364,-0.13206050316411352,-0.6209876933276167,0.2038697649116503,,,0.006050501172858948,-0.01772747526976612
利润,0.9302180263757848,-0.5591833447507226,0.9268309482658293,-0.6301570007923563,0.9955693666980882,1.0,-0.2527199726961703,,-0.011560387556217777,-0.29229204849391227,-0.1335432194787457,-0.6623779301282767,0.23586496387431044,,,0.008810166082003142,-0.011560387556217777
利润率,-0.38132464166345154,-0.1566987836056924,-0.41455930232173555,-0.32305166414531217,-0.33211847659216825,-0.2527199726961703,1.0,,0.02790729492433599,1.0,0.02450010005109645,-0.17440909148295647,0.02911359093273891,,,0.012824472124557056,0.02790729492433599
销售月份,,,,,,,,,,,,,,,,,
销售星期几,-0.06372353550243189,0.10774682099086996,-0.06261508099956951,0.013107260014353977,-0.01772747526976612,-0.011560387556217777,0.02790729492433599,,1.0,0.12605325520932192,0.11435472257186052,0.060206725901002414,0.18947241109707716,,,0.28150998047180914,1.0
促销利润率,-0.4060255306722216,-0.07603096341372677,-0.43888860909127564,-0.3258579447667288,-0.36873268267764364,-0.29229204849391227,1.0,,0.12605325520932192,1.0,0.11211908601802714,-0.1549033072856556,0.13348440499912329,,,-0.04544710144032881,0.12605325520932206
地区平均评分,-0.07497492500713687,0.025077148020843747,-0.07488063144539409,0.05370685758311797,-0.13206050316411352,-0.1335432194787457,0.02450010005109645,,0.11435472257186052,0.11211908601802714,1.0,0.04474776714716221,-0.07906985176744051,,,0.03407664099096192,0.11435472257186488
类别平均销量,-0.7113911766205014,0.9467757530974988,-0.6751399504563198,0.36414999434960105,-0.6209876933276167,-0.6623779301282767,-0.17440909148295647,,0.060206725901002414,-0.1549033072856556,0.04474776714716221,1.0,2.096712229341324e-16,,,0.016879756454709783,0.060206725901002414
销量与类别平均比,-0.05749239175847589,0.3073281561205492,-0.06214242164738242,0.08036931497397391,0.2038697649116503,0.23586496387431044,0.02911359093273891,,0.18947241109707716,0.13348440499912329,-0.07906985176744051,2.096712229341324e-16,1.0,,,0.15160177957562773,0.1894724110970771
销售日期_年份,,,,,,,,,,,,,,,,,
销售日期_月份,,,,,,,,,,,,,,,,,
销售日期_日,-0.021452386174681082,0.07855364448395749,-0.021349548597315537,0.0042797337584714705,0.006050501172858948,0.008810166082003142,0.012824472124557056,,0.28150998047180914,-0.04544710144032881,0.03407664099096192,0.016879756454709783,0.15160177957562773,,,1.0,0.28150998047180914
销售日期_星期,-0.06372353550243189,0.10774682099086996,-0.06261508099956951,0.013107260014353977,-0.01772747526976612,-0.011560387556217777,0.02790729492433599,,1.0,0.12605325520932206,0.11435472257186488,0.060206725901002414,0.1894724110970771,,,0.28150998047180914,1.0
