场景类型,变化百分比,当前总利润,场景总利润,总利润变化,总利润变化百分比,当前平均利润,场景平均利润,平均利润变化,平均利润变化百分比
价格变化,-5,8999639,8997258.261572864,-2380.7384271360934,-0.0264537102781133,169804.50943396226,169759.58984099742,-44.919592964841286,-0.026453710278118804
价格变化,0,8999639,9002051.084661786,2412.084661785513,0.026802015745137256,169804.50943396226,169850.02046531672,45.51103135445737,0.02680201574514534
价格变化,5,8999639,9006843.907750705,7204.907750705257,0.08005774176836712,169804.50943396226,169940.45108963596,135.94165567369782,0.08005774176837521
