模型名称,训练集MSE,测试集MSE,训练集MAE,测试集MAE,训练集R²,测试集R²,交叉验证R²均值,交叉验证R²标准差
梯度提升树,6.241932032157939e-06,0.005735881800084087,0.0019086308650474813,0.06060004079309634,0.9999940403982889,0.9928315238305201,0.9660136639359651,0.016927026834358636
岭回归,0.008655229738042121,0.0066304957826700765,0.06689563213639893,0.05865316283712296,0.9917362570288345,0.9917134709768233,0.9831247794728128,0.009876676856250455
线性回归,0.005745168155843912,0.006824353256072654,0.05810989752782625,0.07128924517426999,0.9945146929194327,0.9914711956429171,0.9854006841181369,0.003551517718161386
随机森林,0.005297175189429119,0.016350859209239902,0.05257994362886741,0.10013306310786431,0.9949424226088099,0.9795653486809578,0.9510724719970682,0.014800355365620096
Lasso回归,1.0180785210016634,0.8042616811553494,0.8279367838099064,0.7378911783534654,0.027970432137229828,-0.00513415309630294,-0.18465540933413238,0.28245875304234297
