场景类型,降低百分比,当前总利润,场景总利润,总利润变化,总利润变化百分比,当前平均利润,场景平均利润,平均利润变化,平均利润变化百分比
成本降低,5,8999639,9002244.846691703,2605.846691703424,0.028955013547803686,169804.50943396226,169853.67635267365,49.16691871138755,0.028955013547804977
成本降低,10,8999639,9002438.608721625,2799.60872162506,0.0311080113505115,169804.50943396226,169857.33224003066,52.82280606840504,0.031108011350516034
成本降低,15,8999639,9002632.370751545,2993.370751544833,0.03326100915319863,169804.50943396226,169860.98812738765,56.47869342539343,0.033261009153209946
