场景类型,增长百分比,当前总利润,场景总利润,总利润变化,总利润变化百分比,当前平均利润,场景平均利润,平均利润变化,平均利润变化百分比
销售增长,10,8999639,9057509.74277676,57870.74277676083,0.6430340458851831,169804.50943396226,170896.41024107096,1091.900807108701,0.6430340458851866
销售增长,20,8999639,9112968.400891742,113329.40089174174,1.259266076025291,169804.50943396226,171942.80001682532,2138.290582863061,1.2592660760252965
销售增长,30,8999639,9168427.05900672,168788.05900672078,1.8754981061653784,169804.50943396226,172989.18979257965,3184.680358617392,1.8754981061653895
